Adenovirus,Coronavirus,Parainfluenza,Rhinovirus,RSV,Year,Week
36,1,69,159,13,2014,23
33,2,84,144,13,2014,24
43,6,81,170,8,2014,25
28,0,56,124,10,2014,26
49,7,60,125,5,2014,27
44,0,50,155,3,2014,28
44,1,52,127,5,2014,29
50,0,39,149,5,2014,30
35,0,32,107,8,2014,31
19,0,17,68,5,2014,32
27,3,34,91,9,2014,33
30,0,23,74,8,2014,34
19,0,15,52,4,2014,35
22,1,16,74,7,2014,36
18,2,12,107,9,2014,37
16,0,12,87,9,2014,38
20,3,12,174,15,2014,39
35,1,20,235,22,2014,40
37,1,26,218,31,2014,41
44,0,32,180,56,2014,42
33,1,44,189,81,2014,43
39,4,39,195,105,2014,44
26,5,32,146,145,2014,45
34,2,70,154,251,2014,46
32,3,46,141,303,2014,47
49,5,57,203,379,2014,48
51,4,84,189,555,2014,49
71,7,60,250,687,2014,50
78,45,128,423,1094,2014,51
64,35,58,204,602,2014,52
89,26,76,223,704,2015,1
71,42,91,205,627,2015,2
64,23,61,138,392,2015,3
108,45,50,201,459,2015,4
119,96,94,298,317,2015,5
75,25,40,177,161,2015,6
102,68,83,279,157,2015,7
99,61,99,143,191,2015,8
86,42,69,158,106,2015,9
74,18,66,111,95,2015,10
116,30,94,183,115,2015,11
81,9,105,149,84,2015,12
95,27,87,140,94,2015,13
137,27,118,177,97,2015,14
95,23,107,146,54,2015,15
217,135,269,352,127,2015,16
101,10,151,90,45,2015,17
140,28,169,248,72,2015,18
67,20,70,155,50,2015,19
111,16,106,202,53,2015,20
89,13,82,246,68,2015,21
79,4,69,143,40,2015,22
106,7,90,233,59,2015,23
84,6,80,202,46,2015,24
90,3,85,196,43,2015,25
90,4,84,184,30,2015,26
88,1,70,169,36,2015,27
95,5,64,148,37,2015,28
69,0,49,143,26,2015,29
71,2,44,109,28,2015,30
64,2,65,149,25,2015,31
62,2,71,188,40,2015,32
80,2,54,168,92,2015,33
59,4,44,119,26,2015,34
45,1,49,112,24,2015,35
37,2,24,128,25,2015,36
42,1,37,133,24,2015,37
35,2,35,241,38,2015,38
63,1,51,313,67,2015,39
29,5,70,366,58,2015,40
45,1,68,312,70,2015,41
66,5,68,260,82,2015,42
59,10,104,331,145,2015,43
59,8,124,276,203,2015,44
67,5,115,345,307,2015,45
57,7,118,250,445,2015,46
61,13,113,243,657,2015,47
77,10,118,297,753,2015,48
93,6,130,310,1046,2015,49
78,20,89,289,961,2015,50
87,21,124,330,972,2015,51
81,20,70,214,656,2015,52
79,30,86,293,633,2015,53
83,35,98,269,640,2016,1
83,53,95,197,390,2016,2
80,40,59,232,345,2016,3
82,83,61,295,251,2016,4
79,97,46,257,266,2016,5
103,130,71,290,202,2016,6
118,130,43,240,151,2016,7
112,132,36,210,152,2016,8
106,138,72,253,164,2016,9
95,125,77,206,132,2016,10
113,142,54,257,158,2016,11
100,119,83,225,125,2016,12
122,75,84,223,130,2016,13
106,89,111,230,124,2016,14
128,74,103,192,87,2016,15
84,54,92,150,80,2016,16
135,67,142,288,72,2016,17
108,29,113,251,87,2016,18
146,20,138,391,90,2016,19
111,33,155,274,63,2016,20
88,18,135,225,71,2016,21
84,13,139,248,66,2016,22
103,12,144,246,50,2016,23
111,12,138,244,52,2016,24
96,5,97,230,41,2016,25
99,11,113,266,49,2016,26
96,4,79,235,54,2016,27
90,6,94,287,60,2016,28
95,5,82,256,68,2016,29
80,7,78,242,61,2016,30
59,1,49,170,39,2016,31
71,3,31,127,46,2016,32
68,2,41,98,39,2016,33
57,4,37,127,41,2016,34
64,3,42,141,42,2016,35
45,3,28,121,40,2016,36
46,1,26,128,43,2016,37
51,5,39,256,36,2016,38
40,3,29,326,45,2016,39
49,4,41,361,61,2016,40
36,11,52,331,101,2016,41
63,8,55,380,170,2016,42
58,13,67,343,252,2016,43
81,17,85,415,439,2016,44
45,13,51,243,386,2016,45
66,14,71,322,654,2016,46
79,46,100,352,878,2016,47
87,26,77,360,869,2016,48
76,27,96,369,1036,2016,49
69,39,67,317,898,2016,50
65,32,80,378,818,2016,51
67,42,88,248,650,2016,52
98,76,67,255,602,2017,1
92,92,121,370,625,2017,2
75,78,104,262,387,2017,3
102,101,80,271,277,2017,4
106,168,107,369,195,2017,5
106,162,97,297,152,2017,6
105,165,101,256,129,2017,7
121,142,125,282,131,2017,8
146,130,147,269,80,2017,9
134,82,116,202,60,2017,10
116,74,125,228,55,2017,11
123,60,164,274,73,2017,12
76,56,159,221,28,2017,13
173,53,236,397,158,2017,14
127,32,152,238,67,2017,15
128,25,195,259,79,2017,16
130,21,170,230,56,2017,17
122,38,159,242,46,2017,18
104,19,103,190,65,2017,19
92,15,101,215,66,2017,20
91,25,150,264,54,2017,21
109,9,117,301,69,2017,22
144,12,141,259,27,2017,23
113,9,111,316,42,2017,24
86,5,81,193,30,2017,25
66,7,46,152,48,2017,26
102,6,64,189,36,2017,27
108,9,70,249,33,2017,28
84,3,60,194,35,2017,29
70,5,77,229,47,2017,30
82,3,63,185,36,2017,31
51,3,68,189,34,2017,32
69,3,64,275,48,2017,33
55,11,84,174,42,2017,34
39,4,39,126,38,2017,35
54,3,61,163,42,2017,36
46,4,70,231,49,2017,37
46,6,89,343,63,2017,38
51,8,85,465,88,2017,39
38,7,109,455,120,2017,40
56,6,125,474,135,2017,41
62,6,152,408,224,2017,42
66,10,153,402,270,2017,43
67,6,112,340,338,2017,44
82,15,162,412,484,2017,45
133,16,259,824,809,2017,46
105,17,130,418,832,2017,47
82,29,135,435,897,2017,48
135,43,174,600,1207,2017,49
105,61,120,396,966,2017,50
119,109,125,402,831,2017,51
76,76,84,272,549,2017,52
108,164,117,394,658,2018,1
128,162,141,453,634,2018,2
107,138,108,339,424,2018,3
174,137,131,487,429,2018,4
121,153,88,410,256,2018,5
142,138,60,355,165,2018,6
122,130,86,413,162,2018,7
132,115,86,425,144,2018,8
134,104,95,334,111,2018,9
182,92,104,432,118,2018,10
146,90,125,375,107,2018,11
124,65,151,373,104,2018,12
131,43,141,308,58,2018,13
139,60,184,355,80,2018,14
141,52,202,375,71,2018,15
92,35,173,249,53,2018,16
224,23,228,608,52,2018,17
110,34,174,279,34,2018,18
97,12,173,297,27,2018,19
95,17,199,357,23,2018,20
87,13,166,285,34,2018,21
83,10,164,265,24,2018,22
95,8,154,271,32,2018,23
83,14,139,227,19,2018,24
90,9,99,253,21,2018,25
81,7,102,228,25,2018,26
75,12,106,272,20,2018,27
64,8,87,197,24,2018,28
81,5,71,186,20,2018,29
51,4,84,168,14,2018,30
56,5,67,142,19,2018,31
58,9,68,139,23,2018,32
43,2,60,106,24,2018,33
40,9,59,147,24,2018,34
34,8,50,138,34,2018,35
29,6,45,182,39,2018,36
26,4,59,209,38,2018,37
24,4,44,317,35,2018,38
32,6,64,351,50,2018,39
52,9,77,386,108,2018,40
48,7,66,340,120,2018,41
41,9,90,362,232,2018,42
55,8,71,329,325,2018,43
55,8,105,332,500,2018,44
62,29,87,314,690,2018,45
105,30,112,473,1006,2018,46
73,27,79,367,1090,2018,47
85,36,101,461,1181,2018,48
82,27,100,379,1167,2018,49
84,54,118,366,1073,2018,50
108,79,119,428,972,2018,51
63,55,109,351,676,2018,52
104,135,133,450,827,2019,1
111,115,169,412,708,2019,2
98,175,152,340,499,2019,3
98,115,119,330,362,2019,4
120,201,124,487,306,2019,5
106,187,170,439,232,2019,6
112,111,159,344,179,2019,7
154,191,205,436,159,2019,8
150,124,170,380,125,2019,9
125,76,188,318,74,2019,10
131,55,179,342,75,2019,11
137,72,199,425,59,2019,12
117,29,210,306,44,2019,13
128,41,250,394,36,2019,14
166,80,299,457,27,2019,15
118,30,242,291,25,2019,16
164,50,292,343,19,2019,17
141,30,224,278,32,2019,18
112,30,202,251,22,2019,19
111,22,190,299,22,2019,20
100,15,170,342,16,2019,21
99,12,155,323,16,2019,22
102,7,110,267,10,2019,23
100,13,109,249,6,2019,24
101,8,99,283,9,2019,25
97,11,90,316,13,2019,26
85,10,102,254,16,2019,27
103,5,66,228,13,2019,28
99,10,96,263,17,2019,29
90,8,81,206,20,2019,30
88,3,68,188,13,2019,31
61,9,70,153,19,2019,32
57,1,66,113,20,2019,33
56,4,85,127,13,2019,34
48,5,93,161,18,2019,35
51,6,82,145,19,2019,36
63,5,79,211,22,2019,37
62,7,114,364,28,2019,38
56,10,126,511,50,2019,39
58,6,143,510,47,2019,40
82,8,186,594,89,2019,41
58,7,174,505,102,2019,42
68,8,218,524,230,2019,43
82,11,231,530,370,2019,44
111,16,232,612,598,2019,45
97,15,218,543,702,2019,46
108,17,198,473,1123,2019,47
110,27,234,559,1598,2019,48
134,23,208,477,1679,2019,49
112,27,204,492,1822,2019,50
122,48,196,526,2043,2019,51
104,68,150,326,1636,2019,52
110,78,153,356,1820,2020,1
204,94,162,532,1386,2020,2
143,152,136,336,873,2020,3
156,133,106,347,590,2020,4
119,98,72,445,446,2020,5
152,173,59,384,337,2020,6
217,126,96,613,248,2020,7
164,119,72,442,200,2020,8
153,131,87,398,138,2020,9
166,117,101,502,160,2020,10
186,104,108,453,109,2020,11
147,143,133,517,110,2020,12
83,127,88,270,70,2020,13
52,70,54,160,17,2020,14
28,15,28,65,8,2020,15
23,66,19,34,4,2020,16
18,95,17,23,0,2020,17
13,49,4,17,0,2020,18
9,31,3,15,2,2020,19
13,13,2,16,3,2020,20
8,1,3,12,1,2020,21
11,0,1,11,2,2020,22
15,1,4,12,2,2020,23
6,1,3,12,2,2020,24
12,0,2,11,2,2020,25
16,5,0,6,4,2020,26
10,0,1,15,3,2020,27
14,0,0,12,1,2020,28
12,0,2,14,0,2020,29
8,0,3,17,0,2020,30
10,1,3,27,2,2020,31
8,2,1,26,1,2020,32
11,0,2,33,1,2020,33
10,0,0,40,1,2020,34
17,0,2,32,4,2020,35
11,1,3,40,3,2020,36
33,1,0,149,2,2020,37
,,,,3,2020,38
,,,,4,2020,39
,,,,2,2020,40
,,,,4,2020,41
,,,,36,2020,42
,,,,738,2020,43
,,,,464,2020,44
,,,,632,2020,45
,,,,224,2020,46
,,,,6,2020,47
,,,,8,2020,48
,,,,3,2020,49
,,,,4,2020,50
,,,,7,2020,51
,,,,2,2020,52
,,,,3,2020,53
,,,,3,2021,1
,,,,4,2021,2
,,,,3,2021,3
,,,,5,2021,4
,,,,5,2021,5
,,,,6,2021,6
