week_commencing,week_number ,positivity_0_5y
01/10/2012,40,7.17
08/10/2012,41,13.28
15/10/2012,42,17.55
22/10/2012,43,25
29/10/2012,44,38.86
05/11/2012,45,43.07
12/11/2012,46,43.38
19/11/2012,47,49.29
26/11/2012,48,48.56
03/12/2012,49,51.27
10/12/2012,50,45.32
17/12/2012,51,43
24/12/2012,52,35.97
31/12/2012,1,30.98
07/01/2013,2,25
14/01/2013,3,20.38
21/01/2013,4,12.43
28/01/2013,5,9.69
04/02/2013,6,10.08
11/02/2013,7,10.08
18/02/2013,8,8.67
25/02/2013,9,6.93
04/03/2013,10,4.18
11/03/2013,11,4.18
18/03/2013,12,3.88
25/03/2013,13,4.38
01/04/2013,14,3.42
08/04/2013,15,1.85
15/04/2013,16,2.82
22/04/2013,17,2.75
29/04/2013,18,4.05
06/05/2013,19,1.98
13/05/2013,20,2.57
20/05/2013,21,2.21
27/05/2013,22,2.31
03/06/2013,23,0.48
10/06/2013,24,1.83
17/06/2013,25,2.35
24/06/2013,26,0.5
01/07/2013,27,0.97
08/07/2013,28,2.43
15/07/2013,29,1.9
22/07/2013,30,2.06
29/07/2013,31,1.03
05/08/2013,32,2.15
12/08/2013,33,0.67
19/08/2013,34,3.68
26/08/2013,35,0.77
02/09/2013,36,0.72
09/09/2013,37,1.21
16/09/2013,38,0.77
23/09/2013,39,2.39
30/09/2013,40,3.2
07/10/2013,41,7.36
14/10/2013,42,11.9
21/10/2013,43,14.29
28/10/2013,44,23.28
04/11/2013,45,29.10
11/11/2013,46,36.47
18/11/2013,47,45.16
25/11/2013,48,50.88
02/12/2013,49,54.27
09/12/2013,50,54.40
16/12/2013,51,45.67
23/12/2013,52,51.49
30/12/2013,1,43.05
06/01/2014,2,34.25
13/01/2014,3,24.36
20/01/2014,4,20.00
27/01/2014,5,14.24
03/02/2014,6,8.42
10/02/2014,7,10.41
17/02/2014,8,7.53
24/02/2014,9,4.65
03/03/2014,10,4.74
10/03/2014,11,2.66
17/03/2014,12,4.51
24/03/2014,13,3.33
31/03/2014,14,2.48
07/04/2014,15,2.4
14/04/2014,16,3.46
21/04/2014,17,0.87
28/04/2014,18,0.95
05/05/2014,19,1.75
12/05/2014,20,0.858369098712446
19/05/2014,21,3.2520325203252
26/05/2014,22,0.904977375565611
02/06/2014,23,0.427350427350427
09/06/2014,24,0.505050505050505
16/06/2014,25,0.540540540540541
23/06/2014,26,1.05263157894737
30/06/2014,27,1.02040816326531
07/07/2014,28,0.869565217391304
14/07/2014,29,2.06185567010309
21/07/2014,30,1.14942528735632
28/07/2014,31,1.88679245283019
04/08/2014,32,2.94117647058824
11/08/2014,33,2.08333333333333
18/08/2014,34,1.5625
25/08/2014,35,2.34375
01/09/2014,36,2.22222222222222
08/09/2014,37,3.10880829015544
15/09/2014,38,3.6036036036036
22/09/2014,39,0.851063829787234
29/09/2014,40,3.40425531914894
06/10/2014,41,7.04845814977974
13/10/2014,42,8.8
20/10/2014,43,15.6462585034014
27/10/2014,44,20.0636942675159
03/11/2014,45,25.9708737864078
10/11/2014,46,31.6901408450704
17/11/2014,47,38.562091503268
24/11/2014,48,33.2692307692308
01/12/2014,49,49.2647058823529
08/12/2014,50,48.8514548238897
15/12/2014,51,41.6793893129771
22/12/2014,52,37.5
29/12/2014,1,28.7726358148893
05/01/2015,2,22.7699530516432
12/01/2015,3,23.6914600550964
19/01/2015,4,13.0434782608696
26/01/2015,5,8.26666666666667
02/02/2015,6,6.87679083094556
09/02/2015,7,8.33333333333333
16/02/2015,8,6.2992125984252
23/02/2015,9,6.04229607250755
02/03/2015,10,4.29799426934097
09/03/2015,11,2.78551532033426
16/03/2015,12,2.33918128654971
23/03/2015,13,2.18579234972678
30/03/2015,14,2.04081632653061
06/04/2015,15,2.14285714285714
13/04/2015,16,3.0188679245283
20/04/2015,17,2.38095238095238
27/04/2015,18,2.51046025104603
04/05/2015,19,2.87081339712919
11/05/2015,20,2.120141
18/05/2015,21,1.5625
25/05/2015,22,0.813008
01/06/2015,23,2.666667
08/06/2015,24,2.242152
15/06/2015,25,0.943396
22/06/2015,26,0
29/06/2015,27,1.530612
06/07/2015,28,0.568182
13/07/2015,29,1.149425
20/07/2015,30,0.980392
27/07/2015,31,3.067485
03/08/2015,32,0
10/08/2015,33,2.453988
17/08/2015,34,0.625
24/08/2015,35,1.30719
31/08/2015,36,4.316547
07/09/2015,37,2.150538
14/09/2015,38,0.8
21/09/2015,39,2.173913
28/09/2015,40,4.524887
05/10/2015,41,3.688525
12/10/2015,42,11.07492
19/10/2015,43,15.46053
26/10/2015,44,25.43641
02/11/2015,45,30.71066
09/11/2015,46,38.25364
16/11/2015,47,45.92
23/11/2015,48,46.88427
30/11/2015,49,49.65894
07/12/2015,50,50.98039
14/12/2015,51,43.51536
21/12/2015,52,33.54839
28/12/2015,53,37.17172
04/01/2016,1,27.4
11/01/2016,2,15.7
18/01/2016,3,14.29
25/01/2016,4,8.37
01/02/2016,5,5.49
08/02/2016,6,4.19
15/02/2016,7,3.41
22/02/2016,8,4.05
29/02/2016,9,3.38
07/03/2016,10,2.84
14/03/2016,11,2.4
21/03/2016,12,2.59
28/03/2016,13,1.82
04/04/2016,14,2.25
11/04/2016,15,1.75
18/04/2016,16,0.75
25/04/2016,17,1.19
02/05/2016,18,0.9
09/05/2016,19,1.73
16/05/2016,20,0.89
23/05/2016,21,0.91
30/05/2016,22,2.52
06/06/2016,23,0.94
13/06/2016,24,1
20/06/2016,25,0.66
27/06/2016,26,3.3
04/07/2016,27,2.57
11/07/2016,28,0.92
18/07/2016,29,2.68
25/07/2016,30,3.78
01/08/2016,31,4.17
08/08/2016,32,1.43
15/08/2016,33,4.57
22/08/2016,34,3.18
29/08/2016,35,5.73
05/09/2016,36,7.98
12/09/2016,37,2.63
19/09/2016,38,4.35
26/09/2016,39,7.58
03/10/2016,40,9.83606557377049
10/10/2016,41,19.2307692307692
17/10/2016,42,21.9101123595506
24/10/2016,43,27.8969957081545
31/10/2016,44,33.7004405286344
07/11/2016,45,41.6851441241685
14/11/2016,46,49.3996569468268
21/11/2016,47,51.9543973941368
28/11/2016,48,51.1475409836066
05/12/2016,49,48.5815602836879
12/12/2016,50,44.9626865671642
19/12/2016,51,43.265306122449
26/12/2016,52,37.3239436619718
02/01/2017,1,29.1111111111111
09/01/2017,2,16.2337662337662
16/01/2017,3,11.7808219178082
23/01/2017,4,9.32203389830508
30/01/2017,5,5.51181102362205
06/02/2017,6,3.8781163434903
13/02/2017,7,4.6448087431694
20/02/2017,8,4.28571428571429
27/02/2017,9,2.74390243902439
06/03/2017,10,1.06382978723404
13/03/2017,11,4.19354838709677
20/03/2017,12,2.28758169934641
27/03/2017,13,1.66666666666667
03/04/2017,14,1.69491525423729
10/04/2017,15,1.8796992481203
17/04/2017,16,2.99145299145299
24/04/2017,17,1.20967741935484
01/05/2017,18,1.20481927710843
08/05/2017,19,1.2987012987013
15/05/2017,20,1.5748031496063
22/05/2017,21,1.15830115830116
29/05/2017,22,1.3215859030837
05/06/2017,23,0.404858299595142
12/06/2017,24,0
19/06/2017,25,2.10084033613445
26/06/2017,26,2.37154150197628
03/07/2017,27,0.420168067226891
10/07/2017,28,0.884955752212389
17/07/2017,29,0.956937799043062
24/07/2017,30,1.48514851485149
31/07/2017,31,4.41176470588235
07/08/2017,32,2.45398773006135
14/08/2017,33,2.16216216216216
21/08/2017,34,4.375
28/08/2017,35,6.45161290322581
04/09/2017,36,2.94117647058824
11/09/2017,37,2.9535864978903
18/09/2017,38,5.37190082644628
25/09/2017,39,8.46153846153846
02/10/2017,40,11.99
09/10/2017,41,11.07
16/10/2017,42,18.16
23/10/2017,43,19.96
30/10/2017,44,24.47
06/11/2017,45,29.82
13/11/2017,46,39.94
20/11/2017,47,41.32
27/11/2017,48,40.53
04/12/2017,49,40.23
11/12/2017,50,36.24
18/12/2017,51,35.94
25/12/2017,52,27.33
01/01/2018,1,20.62
08/01/2018,2,14.08
15/01/2018,3,8.51
22/01/2018,4,5.72
29/01/2018,5,4.69
05/02/2018,6,2.87
12/02/2018,7,3.36
19/02/2018,8,4.46
26/02/2018,9,2.92
05/03/2018,10,3.08
12/03/2018,11,3.62
19/03/2018,12,2.59
26/03/2018,13,2.81
02/04/2018,14,5.15
09/04/2018,15,3
16/04/2018,16,3.4
23/04/2018,17,2.93
30/04/2018,18,1.17
07/05/2018,19,2.44
14/05/2018,20,2.61
21/05/2018,21,1.48
28/05/2018,22,3.14
04/06/2018,23,3.81
11/06/2018,24,3.68
18/06/2018,25,1.1
25/06/2018,26,4.71
02/07/2018,27,2.59
09/07/2018,28,2.62
16/07/2018,29,2.36
23/07/2018,30,3.07
30-Jul-18,31,2.17
06-Aug-18,32,4.14
13-Aug-18,33,2.64
20-Aug-18,34,3.42
27-Aug-18,35,8.14
03-Sep-18,36,4.96
10-Sep-18,37,5.37
17-Sep-18,38,4.04
24-Sep-18,39,8.33
01-Oct-18,40,8.99
08-Oct-18,41,15.11
15-Oct-18,42,19.84
22-Oct-18,43,27.26
29-Oct-18,44,34.72
05-Nov-18,45,42.39
12-Nov-18,46,43.91
19-Nov-18,47,46.34
26-Nov-18,48,47.34
03-Dec-18,49,44.70
10-Dec-18,50,32.28
17-Dec-18,51,24.40
24-Dec-18,52,22.92
31-Dec-18,1,21.71
07-Jan-19,2,14.34
14-Jan-19,3,10.25
21-Jan-19,4,5.46
28-Jan-19,5,5.29
04-Feb-19,6,4.01
11-Feb-19,7,3.64
18-Feb-19,8,2.64
25-Feb-19,9,2.64
04-Mar-19,10,2.71
11-Mar-19,11,1.18
18-Mar-19,12,1.72
25-Mar-19,13,1.96
01-Apr-19,14,1.58
08-Apr-19,15,0.95
15-Apr-19,16,1.04
22-Apr-19,17,0.71
29-Apr-19,18,1.70
06-May-19,19,0.77
13-May-19,20,1.21
20-May-19,21,0.00
27-May-19,22,0.66
03-Jun-19,23,0.67
10-Jun-19,24,0.31
17-Jun-19,25,1.60
24-Jun-19,26,0.30
01-Jul-19,27,0.29
08-Jul-19,28,0.56
15-Jul-19,29,0.29
22-Jul-19,30,0.70
29-Jul-19,31,1.40
05-Aug-19,32,1.59
12-Aug-19,33,1.53
19-Aug-19,34,0.80
26-Aug-19,35,2.97
02-Sep-19,36,3.58
09-Sep-19,37,1.98
16-Sep-19,38,2.26
23-Sep-19,39,3.48
30-Sep-19,40,3.47
07-Oct-19,41,6.56
14/10/2019,42,9.42528735632184
21/10/2019,43,16.1637931034483
28/10/2019,44,19.5020746887967
04/11/2019,45,24.6808510638298
11/11/2019,46,31.5573770491803
18/11/2019,47,33.7037037037037
25/11/2019,48,37.6237623762376
02/12/2019,49,37.3570520965692
09/12/2019,50,37.9732739420935
16/12/2019,51,36.1216730038023
23/12/2019,52,32.9768270944742
30/12/2019,1,30
06/01/2020,2,22.5446428571429
13/01/2020,3,13.4433962264151
20/01/2020,4,11.472275334608
27/01/2020,5,8.12379110251451
03/02/2020,6,5.43071161048689
10/02/2020,7,5.14705882352941
17/02/2020,8,5.67685589519651
24/02/2020,9,2.78372591006424
02/03/2020,10,2.90697674418605
09/03/2020,11,1.63636363636364
16/03/2020,12,2.3109243697479
23/03/2020,13,0.2710027100271
30/03/2020,14,0.843881856540084
06/04/2020,15,0.571428571428571
13/04/2020,16,1.47058823529412
20/04/2020,17,0.684931506849315
27/04/2020,18,0
04/05/2020,19,0.854700854700855
11/05/2020,20,0
18/05/2020,21,0.813008130081301
25/05/2020,22,0
01/06/2020,23,0
08/06/2020,24,0.909090909090909
15/06/2020,25,0.917431192660551
22/06/2020,26,0
29/06/2020,27,0
06/07/2020,28,0.862068965517241
13/07/2020,29,0
20/07/2020,30,0
27/07/2020,31,0
03/08/2020,32,0
10/08/2020,33,0
17/08/2020,34,0
24/08/2020,35,0
31/08/2020,36,0
07/09/2020,37,0
14/09/2020,38,0
21/09/2020,39,0
28/09/2020,40,0
05/10/2020,41,0.201612903225806
12/10/2020,42,0
19/10/2020,43,0
26/10/2020,44,0.261096605744125
02/11/2020,45,0
09/11/2020,46,0
16/11/2020,47,0.925925925925926
23/11/2020,48,0.304878048780488
30/11/2020,49,0
07/12/2020,50,0
14/12/2020,51,0
21/12/2020,52,0.561797752808989
28/12/2020,53,0
04/01/2021,1,0
11/01/2021,2,0
18/01/2021,3,0
25/01/2021,4,0
01/02/2021,5,0
08/02/2021,6,0
15/02/2021,7,0
22/02/2021,8,0
01/03/2021,9,0
08/03/2021,10,0
15/03/2021,11,0.289855072463768
22/03/2021,12,0.298507462686567
29/03/2021,13,0
05/04/2021,14,0.571428571428571
12/04/2021,15,0.802139037433155
19/04/2021,16,0.56657223796034
26/04/2021,17,1.48514851485149
03/05/2021,18,0.484261501210654
10/05/2021,19,0.966183574879227
17/05/2021,20,1.25391849529781
24/05/2021,21,1.96629213483146
31/05/2021,22,3.39892665474061
07/06/2021,23,2.58764607679466
14/06/2021,24,4.00340715502555
