Entity,Code,Year,1-4 years old,10-14 years old,15-19 years old,20-24 years old,25-29 years old,30-34 years old,35-39 years old,40-44 years old,45-49 years old,5-9 years old,50-54 years old,55-59 years old,60-64 years old,65-69 years old,70-74 years old,75-79 years old,80+ years old,<1 year old
England and Wales,,1915,18.6,2.3,3.5,5.2,5.4,5.8,7.2,8.8,11.5,3.8,16.3,22.4,34.2,48.3,81.5,121.9,212.2,109.7
England and Wales,,1925,9.6,1.7,2.6,3.2,3.5,3.7,4.8,6.1,8.6,2.5,11.6,17.6,25.7,42,64.1,107,188,75
England and Wales,,1935,5.1,1.3,2.1,2.7,2.9,3.1,3.9,5.1,7.4,2,10.7,15.7,24.3,37.9,61.2,98.5,177.3,56.9
England and Wales,,1945,2.6,0.9,1.6,2.7,2.7,2.7,3.1,4,5.9,1.2,9,13.6,21.5,33.2,53,84.6,154.1,47
England and Wales,,1955,1,0.4,0.6,0.9,1,1.2,1.7,2.7,4.6,0.4,7.8,12.5,20.2,32.6,52.5,86.5,170.8,24.9
England and Wales,,1965,0.8,0.4,0.7,0.8,0.8,1,1.6,2.7,4.3,0.4,7.2,11.8,19.6,30.7,48.1,73.7,152.5,19
England and Wales,,1975,0.6,0.3,0.6,0.7,0.7,0.9,1.3,2.3,4.2,0.3,7.1,11,17.9,28.6,45.6,71.1,146.5,15.7
England and Wales,,1985,0.5,0.2,0.5,0.6,0.6,0.7,1.1,1.8,3.2,0.2,5.6,9.8,16.6,25.5,40.8,64.3,134.2,9.4
England and Wales,,1995,0.3,0.2,0.4,0.6,0.7,0.8,1.1,1.7,2.6,0.1,4.4,7.2,12.3,21.2,35,54.3,123.8,6.1
England and Wales,,2005,0.2,0.1,0.4,0.5,0.5,0.7,1,1.5,2.3,0.1,3.7,5.7,9.2,14.9,24.8,43,111.8,5
England and Wales,,2015,0.2,0.1,0.2,0.4,0.4,0.6,0.9,1.4,2,0.1,3.1,4.8,7.8,11.8,19.6,33.8,107.5,3.9